都道府県名,市区町村,人口(計)
北海道,阿寒郡鶴居村,2485.0
北海道,白糠郡白糠町,7234.0
北海道,野付郡別海町,14372.0
北海道,標津郡中標津町,22729.0
北海道,標津郡標津町,4952.0
北海道,目梨郡羅臼町,4488.0
青森県,青森市,271544.0
青森県,弘前市,164243.0
青森県,八戸市,221229.0
青森県,黒石市,31557.0
青森県,五所川原市,51637.0
青森県,十和田市,59024.0
青森県,三沢市,38274.0
青森県,むつ市,53884.0
青森県,つがる市,30185.0
青森県,平川市,30126.0
青森県,東津軽郡平内町,10187.0
青森県,東津軽郡今別町,2311.0
青森県,東津軽郡蓬田村,2581.0
青森県,東津軽郡外ヶ浜町,5358.0
青森県,西津軽郡鰺ヶ沢町,8981.0
青森県,西津軽郡深浦町,7280.0
青森県,中津軽郡西目屋村,1272.0
青森県,南津軽郡藤崎町,14578.0
青森県,南津軽郡大鰐町,8688.0
青森県,南津軽郡田舎館村,7419.0
青森県,北津軽郡板柳町,12714.0
青森県,北津軽郡鶴田町,11988.0
青森県,北津軽郡中泊町,10000.0
青森県,上北郡野辺地町,12341.0
青森県,上北郡七戸町,14631.0
青森県,上北郡六戸町,10836.0
青森県,上北郡横浜町,4286.0
青森県,上北郡東北町,16625.0
青森県,上北郡六ヶ所村,9886.0
青森県,上北郡おいらせ町,25284.0
青森県,下北郡大間町,4870.0
青森県,下北郡東通村,5923.0
青森県,下北郡風間浦村,1690.0
青森県,下北郡佐井村,1734.0
青森県,三戸郡三戸町,9172.0
青森県,三戸郡五戸町,16088.0
青森県,三戸郡田子町,4986.0
青森県,三戸郡南部町,16965.0
青森県,三戸郡階上町,12909.0
青森県,三戸郡新郷村,2211.0
岩手県,盛岡市,282960.0
岩手県,宮古市,48038.0
岩手県,大船渡市,33540.0
岩手県,花巻市,92385.0
岩手県,北上市,92056.0
岩手県,久慈市,32645.0
岩手県,遠野市,25058.0
岩手県,一関市,109697.0
岩手県,陸前高田市,17970.0
岩手県,釜石市,30624.0
岩手県,二戸市,25138.0
岩手県,八幡平市,23975.0
岩手県,奥州市,111632.0
岩手県,滝沢市,55273.0
岩手県,岩手郡雫石町,15559.0
